reqalts , what about spanish food
reqalts , is there anything else
reqalts , anything else
inform , im looking for a eritrean restaurant
inform , north
request , can i have the address
thankyou , thank you good bye
inform , european
inform , portuguese food
null , noise
thankyou , thank you good bye
inform , modern european food
request , whats the address
reqalts , are there any restaurants in the south part of town that are expensive
inform , moderately
request , phone number
inform , any
reqalts , how about italian food
bye , good bye
inform , chinese
reqalts , how about modern european food
affirm , yes
null , noise
thankyou , thank you good bye
inform , south part of town
inform , south part of town
inform , im looking for a cheap restaurant in the west part of town
bye , goodbye
request , what is the phone number
request , what is the address and phone number
inform , i dont care
thankyou , um thank you goodbye
inform , any
request , address
inform , im looking for polynesian food
request , address
request , and the phone number
thankyou , thank you good bye
thankyou , thank you good bye
null , okay
request , can i get the phone number
inform , im looking for a moderately priced restaurant that serves international
request , phone number
request , phone number
bye , goodbye
request , whats the address
affirm , uh yes im looking for a cheap restaurant that serves medetanian food
inform , it doesnt matter
inform , i want to find a cheap
inform , any
inform , chinese food
inform , south
request , what is the price range
affirm , yes
inform , any kind
reqalts , how about international food
request , what is the address and price range
inform , i need a cheap restaurant in the south part of town
request , can i have the phone number and the type of food
null , cough
inform , um i dont care i just want traditional food
request , phone number
reqalts , how about chinese food
inform , any
thankyou , thank you
reqalts , is there anything else
thankyou , thank you good bye
inform , i would like to find a restaurant in the center and it should serve korean food
null , sil
request , phone number
request , could i have the phone number
inform , i want lebanese food
inform , id like a moderately priced restaurant in west of
reqalts , what about north american food
inform , expensive
inform , in the center part of town french food
request , what is the postcode
inform , dont care
request , address
inform , moderately priced restaurant
thankyou , thank you good bye
thankyou , thank you good bye
request , whats the phone number
inform , i want a moderately priced chinese restaurant
inform , cheap
inform , restaurant
inform , expensive
thankyou , thank you good bye
inform , any
inform , cheap
reqalts , is there anything else
request , can i have their phone number
request , what area of town
inform , any
hello , hello im looking for an expensive restaurant
request , address
null , noise
null , unintelligible
thankyou , thank you good bye
reqalts , how about portuguese
request , can i have the price range
inform , spanish food
inform , spanish
inform , doesnt matter
thankyou , thank you good bye
bye , good bye
request , what is the phone number
inform , i dont care
request , whats the phone number
inform , french
inform , i dont care
thankyou , thank you good bye
reqalts , how about international
request , may i have the address and phone nymber
reqalts , how about turkish food
inform , im looking for a cheap restaurant in the south part of town
request , whats the phone number
request , can i get the phone number
request , what is the address and phone number
inform , dont care
inform , im looking for a restaurant in the west part of town
request , whats the address
request , can i have the phone number
reqalts , what about chinese food
thankyou , thank you good b
affirm , yes
inform , indian type of food
reqalts , how about italian
inform , any
inform , id like a restaurant in the north part of town serving swiss food
request , what is the type of food
thankyou , thank you
request , phone number and post code
null , sil
reqalts , anything else
repeat , repeat that
null , sil
request , what is the address
confirm , is it moderately priced
reqalts , anything else
reqalts , how about indian food
inform , north
request , can i get the phone number and price range
inform , spanish food
hello , hello hello oh your on the phone yea
request , postcode
negate , no
request , what kind of food do they serve there
request , what is the phone number
deny , i dont want chinese
request , price range
inform , i would like to find a restaurant in the north part of town that serves kosher food
affirm , yes
inform , indian food
affirm , right
inform , im looking for a restaurant in the south part of town serving
reqalts , is their anything else
inform , chinese
inform , west
request , what is the phone number
request , whats their address
thankyou , thank you good bye
inform , i do not care
null , noise
inform , korean food moderate price
thankyou , thank you good bye
negate , no
request , could i have the address and phone number
inform , thai food
inform , european food
thankyou , thank you good bye
thankyou , thank you very much good bye
thankyou , thank you good bye
request , could i have the phone number please
null , sil
thankyou , thank you goodbye
null , unintelligible
confirm , is it in the west part of town
reqalts , okay what about modern european food
affirm , yes
null , sil
inform , south
inform , south part
request , address
request , what is the address
request , can i get the address
thankyou , thank you good bye
affirm , yes
inform , it doesnt matter i need the north part of town
inform , cheap restaurant serving chinese food
inform , west part of town
inform , im looking for a restaurant that serves chinese food
affirm , yes address
null , okay
inform , vietnamese food
inform , spanish food
inform , any
inform , im looking for a restaurant serving pan asian foo
inform , i dont care
inform , romanian food
inform , dont care
request , address
inform , cheap restaurant
inform , i dont care
request , i would like the address
null , breathing
request , may i have the phone number
inform , any part of town
inform , any area
affirm , uh yes im looking for an expensive restaurant that serves korean food
inform , okay im looking for a restaurant serving fre
null , sil
null , sil
inform , east
thankyou , okay thank you goodbye
bye , good bye
null , unintelligible
request , may i have the phone number
reqalts , what about british food
inform , a restaurant cheap north part of town
request , what is the price range
request , what kind of food does it serve
request , whats the phone number
inform , i need a restaurant in the east part of town that serves creative
thankyou , thank you good bye
inform , south part of town
bye , k you goodbye
null , and the
affirm , yes
request , what is the phone number and type of food
reqalts , how about asian oriental type of food
negate , no
request , can i get the address and phone number
request , address
inform , i dont care
thankyou , thank you good bye
thankyou , thank you good bye
inform , scandinavian
inform , im looking for a restaurant in the center and it should serve traditional food
inform , i dont care about price range
inform , belgium food
thankyou , thank you good bye
affirm , yes
request , phone number
request , address phone number area
inform , uh any type
request , what kind of food is it
reqalts , next one
inform , dont care
null , noise
inform , the south side
inform , cheap
reqalts , can i have something else
inform , i dont care
inform , international food
inform , dont care
reqalts , okay and what about spanish
inform , restaurants
request , whats the phone number
request , address
reqalts , is there anything else
inform , modern european
affirm , yes
thankyou , thank you
reqalts , how about french food
inform , south
null , noise
inform , indian
inform , uh any part of town
affirm , yes in the south part of town
inform , it does not matter
request , i need the address and phone number
inform , im looking for a restaurant in the
inform , im looking for an expensive restaurant in the south part of town
null , sil
request , address
reqalts , anything else
deny , no not indian scandinavian food
negate , no
thankyou , thank you good bye
affirm , yes
thankyou , thank you good bye
affirm , yes
inform , a cheap restaurant
thankyou , thank you good bye
request , what is the telephone number
inform , looking for a moderately priced restaurant in the west part of town
inform , moderate
request , can i have the address and phone number
inform , moderately priced
reqalts , what else
inform , greek
inform , i dont care
inform , any where
request , what type of food they serve
inform , in an expensive restaurant
inform , dont care
inform , looking for a cheap restaurant in the east part of town
reqalts , anything else
inform , south
negate , no thank you good bye
inform , i want to find a cheap restaurant and it should serve portuguese food
inform , traditional
request , and the address
request , can i have the price range
inform , west
null , sil
reqalts , what about indian
inform , uh cheap restaurant in north part of town
inform , im looking for a moderately priced restaurant in the north part of town
affirm , yes
inform , i dont care
request , address phone number and type of food
inform , north part of town
thankyou , thank you good bye
inform , im looking for a restaurant in the center of town serving jamaican food
inform , im looking for a turkish restaurant
inform , any part
inform , persian
request , what is the price range
request , whats the address
affirm , yes
inform , north part of town
inform , expensive
request , what is the phone number and price range
request , what is the price range
inform , the centre
reqalts , how about indian food in the east part of town
inform , european food
request , phone number
inform , food
reqalts , anything else
request , what type of food is it
inform , centre
inform , lebanese
inform , danish food
request , phone number
request , whats their address
request , the address
request , what type of food
request , what type of food
inform , center part of town
bye , good bye
inform , south
inform , any type of food
inform , spanish food
inform , im looking for a restaurant in the north part of town that serves asian oriental food
request , address
inform , is there a restaurant in the center of town serving
request , what is the address
request , can i get the phone number
request , could you give me a address
request , popular dish
request , what is the address and phone number
inform , british food
inform , vietnamese
request , what is the phone number
reqalts , how about italian food
inform , i dont care
inform , the south part of town please
inform , dont care
inform , any price range
inform , any
request , whats the phone number
inform , im looking for a cheap restaurant that serves belgian food
request , what area is it located
thankyou , thank you good bye
request , address and phone number
thankyou , thank you good bye
request , how about the address
inform , i dont care
inform , british food
request , what is the phone number and area
request , do you have a phone number
inform , mediterranean food
inform , uh moderately price
inform , im looking for a restaurant in the south part of town
hello , hi im looking for an expensive restaurant in the south part of town
inform , for a cheap restaurant in the east part of town
request , okay and uh can i get the address
request , what is the address
inform , kosher
thankyou , thank you good bye
affirm , right
reqalts , is there anything else
inform , doesnt matter
reqalts , anything else
request , what area of town is it in
inform , i dont care
request , can i get the address tv_noise
inform , any
inform , south part of town
inform , eritrean food
request , phone number
request , address and phone number
hello , hi im looking for a moderately priced restaurant
affirm , yes
inform , i dont care
request , post code
inform , vietnamese food
affirm , yea
inform , east
thankyou , thank you good bye
request , could you get me the phone number
inform , moderate
repeat , uh could you repeat that
thankyou , thank you goodbye
confirm , is it in the east of town
inform , turkish
request , address
inform , im looking for a cheap restaurant in the west part of town
request , what type of food
request , what kind of food
request , where is it
inform , dont care
repeat , can you repeat that
inform , the north
inform , for a cheap restaurant in the south part of town
inform , russian food
request , where is one
request , address
request , post code
request , and post code
inform , vegetarian food
thankyou , thank you good bye
inform , irish food
confirm , is it in the center of town
inform , portuguese food
null , sil
bye , okay thank you and good bye
request , phone number
thankyou , thank you good bye
inform , looking for a cheap restaurant that serves spanish food
inform , what ever
inform , indian food in the west part of town
inform , was that in the east part of town west part of town
null , noise
thankyou , great thank you good bye
affirm , yes
request , post code
deny , i dont want vietnamese food
reqalts , how about vietnamese
inform , dont care
affirm , uh yes that serves mediterranean food
inform , im looking for a moderately priced restaurant serving fusion food
deny , wrong
request , okay and can i get the address
request , what is the address
reqalts , anything else
reqalts , is there anything else
request , what is the address and phone number
request , post code
inform , chinese
request , can i have the address
null , i need
inform , unusual food
inform , i dont care
thankyou , thank you goodbye
reqalts , what about international food
null , unintelligible
request , address
bye , okay thank you and good bye
inform , noise west
thankyou , thank you good bye
inform , dont care
thankyou , thank you good bye
inform , brazilian food
inform , turkish
inform , im looking for a restaurant in the north part of town that serves traditional food
request , can you give me the phone number
inform , scottish
request , okay can i have the address
thankyou , thank you good bye
inform , expensive
request , whats the price range
request , what is the telephone number
thankyou , thank you good bye
thankyou , thank you good bye
request , whats the phone number
inform , the west part of town
inform , any
affirm , yea
inform , im looking for an expensive restaurant in the east
request , can i have his phone number
request , phone number
request , can i get the address and phone number
inform , expensive
thankyou , thank you good bye
inform , expensive restaurant
request , post code
negate , uh no oh
affirm , yes
inform , portuguese
thankyou , thank you good bye
thankyou , thank you
inform , any kind
inform , moderate price
null , noise
inform , indian type food
request , give me the address please
null , unintelligible
hello , halo
inform , south south
request , noise may i have its address
request , whats the address
inform , spanish food
inform , afghan
reqalts , is there a restaurant that serves european food
thankyou , thank you good bye
request , what area is it in
request , address
inform , italian food
inform , dont care
affirm , yea
request , address
thankyou , thank you good bye
thankyou , thank you
inform , id like a moderately price
inform , dont care
request , the address
request , post code
negate , no im looking for austria asian food
inform , looking for a sea food restaurant
inform , looking for a cheap restaurant
inform , cheap restaurant in the south part of town
inform , any
thankyou , thank you good bye
inform , moderate
request , could i have the address and phone number
null , noise
request , and the post code
request , whats the address of royal spice
reqalts , what about vietnamese food
request , what is the post code
request , postcode
inform , what about in the center of town
request , address
request , okay can i have the address
null , range please
thankyou , thank you good bye
inform , expensive restaurant in the east part of town
thankyou , thank you good bye
thankyou , thank you good bye
inform , expensive
request , phone number
confirm , is it in the north part of town
thankyou , thank you good bye
inform , im looking for a cheap restaurant
thankyou , thank you good bye
inform , i need a moderately priced restaurant serving world food
negate , no
request , what is the post code
inform , and okay and vietnamese food thank you
reqalts , what about korean food
request , whats the addre
thankyou , thank you goodbye
thankyou , thank you good bye
request , address
inform , any
inform , portuguese
thankyou , thank you good bye
thankyou , thank you good bye
request , and the phone number
inform , south of the town
inform , an expensive restaurant serving thai food
thankyou , thank you good bye
inform , spanish
inform , id like a restaurant in any area that serves vegetarian food
request , can i have the phone number and the price range
request , phone number
request , where is it
reqalts , how about indian food
null , noise
inform , uh north
request , price range
inform , im looking for a thai restaurant
thankyou , thank you good bye
inform , im looking for a moderately priced restaurant that serves uh
request , could i get the phone number and price range
request , may i have the address
request , and can i have the address phone number and price range of the restaurant please
inform , korean food
request , phone number
reqalts , is there anything else
request , can i have the address please
request , and whats the post code
inform , im looking for an expensive restaurant in the south part of town
inform , im looking for a restaurant in the west part of town
request , what is the address and phone number
reqalts , how about asian oriental
affirm , yes
null , noise
affirm , yes
inform , east
thankyou , thank you goodbye
request , what is the address
inform , i want to find international food
request , cool give me that phone number
inform , african food
request , tasty then whats the phone number
request , can i get the phone number and address
inform , moderate
null , noise
affirm , yes
inform , im looking for a cheap restaurant that serves
inform , uh restaurant in the west part of town
inform , doesnt matter
thankyou , thank you good bye
bye , goodbye
inform , indian food
inform , italian
negate , no i want spanish food
inform , im looking for a restaurant in any area that serves austrian food
inform , greek
inform , moderately priced restaurant in the east part of town
request , what is the phone number
inform , im looking for a restaurant that serves african food
request , what is the address
inform , i want a moderately priced restaurant in the west part of town
inform , cheap restaurant in he north part of town
request , price range
thankyou , thank you good bye
inform , breath can you find me danish restaurant
request , expensive price range
inform , i want to find a moderately priced restaurant and it should be in the west part of town
negate , no
thankyou , thank you good bye
request , what is the phone number
request , whats the phone number
request , whats the type of food
inform , serves british food
thankyou , thank you good bye
request , phone number
thankyou , thank you good bye
inform , moderately priced
request , what is the phone number
request , postcode
request , address
thankyou , thank you good bye
reqalts , how about italian food
request , phone number
reqalts , how about chinese
reqalts , is there anything else
inform , chinses
inform , austrian food
null , sil
reqalts , anything else
inform , i would like some danish food
inform , im looking for a moderately priced restaurant that serves sea food
reqalts , and what is the other restaurant
inform , any
affirm , yes
inform , restaurant in the west part of town
inform , dont care
request , may i have the phone number
request , what is the address and price range
bye , okay thank you and good bye
inform , spanish food
request , the phone number
inform , what about a moderately priced re
inform , i would like indian food
inform , i want a singaporean food restaurant
request , whats the phone number
request , address
reqalts , uh how about north american
request , phone number
reqalts , what else
inform , serving turkish food
request , address
inform , dont care
inform , any address
request , phone number
inform , it doesnt matter
inform , im looking for a restaurant in the east part of town
request , the address
inform , cheap restaurant north part of town
null , not sure
request , what is the address
inform , gastropub
thankyou , thank you
confirm , is it expensive
request , what is the address
request , the price range
inform , indian food
inform , im looking for a moderately priced restaurant that serves
request , what is the address and post code
reqalts , how about chinese food
null , the addre
inform , um medium price range
thankyou , thank you good bye
inform , i dont care
negate , no
inform , south
request , phone number
inform , an expensive restaurant serving cantonese food
request , okay can i get the address
inform , moderate please
inform , i dont care
request , whats the address
request , and whats the phone number
request , phone number
reqalts , what about north american food
inform , id like an indian restaurant
request , address
thankyou , thank you good bye
request , what type of food
inform , french food
request , what type of food do they serve
inform , north
inform , gastropub food
request , phone number
request , whats the phone number
null , sil
inform , russian food
inform , portuguese
request , can i have the address of the last one
reqalts , how about indian food
thankyou , thank you good bye
thankyou , thank you good bye
inform , im looking for an expensive restaurant in the south part of tow
inform , i need a restaurant in the east part of town
reqalts , how about chinese food
request , i need a special restaurant serving christmas food
inform , barbecue
bye , okay and um thank you and good bye
request , post code
inform , i dont care
thankyou , thank you good bye
inform , what about a restaurant serving chinese food
request , what is the phone number
null , sil
inform , south
inform , vietnam
request , postcode
reqalts , uh is there a restaurant that serves international food
request , phone number
thankyou , thank you good bye
request , post code
inform , i dont care
inform , moderate
inform , lets see im looking for a restaurant in the north part of town that serves vietnamese food
hello , hello
inform , expensive
thankyou , thank you good bye
inform , breath how bout north part of town
reqalts , is there anything else
reqalts , uh is there any restaurant that serves indian food
inform , what about asian food
inform , basque food
inform , a cheap restaurant
bye , okay thank you and good bye
inform , uh cheap restaurant
inform , are there any british rest british food
inform , spanish
inform , north american food
request , could i have the address please
request , address
inform , chinese food
thankyou , thank you goodbye
request , post code
thankyou , thank you good bye
inform , any kind
inform , canapes
reqalts , is there a restaurant serving thai food
inform , polish food
null , yea id like a
inform , can i have a thai restaurant
null , sil
inform , i need a restaurant serving af
inform , south
request , area
thankyou , thank you good bye
thankyou , thank you good bye
inform , north part of town
null , sil
inform , any part of town
inform , noise ah gastropub food
inform , anywhere
request , how about the post code
inform , spanish
request , and the address
request , may i have the phone number and post code please
thankyou , oh my god thank you goodbye
request , can i have the phone number
inform , im looking for an expensive restaurant in the south part of town
reqalts , is there anything else
null , okay
inform , anything
inform , i would like to find a cheap restaurant and it should be in the south
thankyou , um thank you good bye
inform , i would like crossover food
request , can i get the number
request , location
request , post code
request , what is its address
null , unintelligible
thankyou , thank you goodbye
thankyou , thank you good bye
inform , i dont care
inform , in the north part of town that serves
affirm , yes
null , sil
request , the type of food
inform , italian food
request , what is the address and phone number
request , type of food
inform , west part of town
request , whats the phone number
inform , basque
reqalts , how about the center of town
thankyou , thank you good bye
thankyou , thank you good bye
request , what part of town is it in
thankyou , thank you goodbye
inform , korean food type
null , sil
request , whats their address
reqalts , is there anything else
inform , north american
inform , italian food
inform , im looking for a restaurant in the east part of town serving chinese food
inform , british
reqalts , how about indian
inform , asian oriental
affirm , yes
negate , no
inform , moderately
request , can i have the address
inform , catalan
affirm , ye
inform , i dont care
inform , german food
inform , doesnt matter
thankyou , thank you good bye
confirm , does it serve african food
inform , an expensive italian restaurant
request , phone number
inform , thai food
thankyou , thank you good bye
confirm , is it chinese food though
inform , i am looking for a moderately priced restaurant in the south part of town
restart , start over
request , and the telephone number
request , post code
thankyou , thank you good bye
inform , i need a cheap restaurant in the south part of town
inform , expensive
request , address
request , phone number
request , can i have an address
inform , cheap restaurant serving malaysian food
request , what is the address and phone number
inform , cheap
reqalts , what about indian food
request , whats the address
inform , doesnt matter
null , unintelligible
null , system
inform , any type
reqalts , anything else
inform , corsica
request , whats the address
negate , no
inform , moderately priced
reqalts , how about a different restaurant
request , what is the price range
thankyou , thank you good bye
reqalts , how about portuguese food
request , whats the address
thankyou , thank you
inform , cheap
thankyou , thank you good bye
null , noise
inform , may i have an expensive restaurant
request , what is the phone
request , price
inform , noise i would like to find a moderately priced restaurant in the south of town
inform , european food
request , and post code
thankyou , thank you goodbye
inform , i dont care
confirm , is it in the north part of tow
request , and the post code of the venue
request , address
request , what is the price range
inform , greek
reqalts , how about a gastropub
null , noise
inform , malaysian
thankyou , thank you good bye
inform , im looking for a cheap restaurant in the south
inform , modern european
thankyou , breath thank you goodbye
request , and the price range
inform , um do not care
null , unintelligible
inform , in the center
thankyou , thank you good bye
inform , steak house food noise steak house food
inform , i want an expensive restaurant in the east part of town
thankyou , thank you goodbye
inform , food
request , address
affirm , yes
inform , italian
thankyou , thank you goodbye
request , address
request , what is the address
null , unintelligible
thankyou , thank you good bye
inform , i wanted an expensive restaurant
inform , im looking for moderately priced restaurant in the north part of town
request , what is the address and telephone number
request , can you give me the address
request , whats the address
request , part of town
reqalts , is there anything else
affirm , yes
negate , no
inform , dont care
null , unintelligible
affirm , yeah do you have thai food
request , what is the addre
reqalts , is there anything else
inform , doesnt matter
inform , i dont care
thankyou , thank you good bye
inform , expensive
inform , do you have any asian oriental food
inform , cheap restaurant in the north of town
null , noise
request , what is the address
request , breath may i have the phone number and address please
inform , moderate
thankyou , thank you good bye
inform , im looking for scandinavian food
inform , any
thankyou , thank you good bye
inform , moderately priced restaurant
thankyou , thank you good bye
request , phone number
inform , cantonese food
inform , lebanese damn it just listen to me
request , whats their address
null , unintelligible
inform , doesnt matter
thankyou , thank you good bye
thankyou , thank you good bye
reqalts , what about korean food
inform , i want a restaurant that serves welsh food
thankyou , thank you goodbye
request , may i have the phone number and address
inform , jamaican food
null , sil
thankyou , thank thank
thankyou , thank you good bye
null , the addre
request , can i have the address
thankyou , thank you goodbye
reqalts , how about the moderate price range
null , unintelligible
inform , any
reqalts , okay give me another option
reqalts , how about somewhere serving modern european
inform , any
request , the phone number
inform , uh i dont care
inform , i dont care
thankyou , thank you goodbye
negate , no
inform , the center of town
inform , im looking for a moderately priced restaurant in the south part of town
affirm , yes
request , whats the address
inform , id like a hungarian food restaurant in the centre part of town
request , post code
inform , im looking for a moderately
inform , east
inform , any
thankyou , thank you goodbye
inform , vietnamese
thankyou , thank you good bye
inform , it doesnt matter
null , unintelligible
affirm , yes
inform , any price range
null , sil
inform , id like a restaurant in any area that it serves canapes
inform , north part of town
repeat , back
request , ah whats the price ran
inform , portuguese
affirm , yes
request , phone number
thankyou , thank you good bye
inform , asian oriental food
inform , i want a restaurant in the center of town
inform , portuguese food
inform , hungarian
request , can i have the phone number and post code please
null , sil
inform , im looking for a cheap restaurant in the west part of town
inform , asian oriental food in the centre
request , address
inform , im looking for a moderately priced restaurant and it should be in the west part of town
thankyou , thank you good bye
inform , im looking for a moderately priced restaurant and it should serve
inform , im looking for a thai food restaurant and i dont care the price
request , thats fine can i get their phone number please
inform , british
inform , expensive
reqalts , what else
reqalts , how about asian oriental
affirm , yes
inform , moderate
inform , halal
reqalts , next one please
inform , i want to find a restaurant in the west part of town
reqalts , anything else
inform , italian food
inform , i want to find a cheap restaurant
inform , singaporean
thankyou , thank you good bye
inform , the east
reqalts , how about mediterranean
thankyou , thank you good bye
inform , north
inform , center
request , can i get the phone number
request , thats fine whats the address
request , whats the phone number
null , sil
reqalts , how about north american type of food
inform , expensive
inform , north
thankyou , thank you good bye
inform , pan asian
inform , greek
inform , im looking for a moderately priced restaurant that serves bistro
inform , north
thankyou , thank you good bye
thankyou , thank you good bye
inform , basque food in the east part of town
request , phone number
thankyou , thank you
request , address
request , what is their phone number
request , can i get a post code
thankyou , thank you good bye
inform , i dont care
request , whats the address phone number
inform , food
request , phone number
thankyou , thank you good bye
thankyou , thank you goodbye
request , phone number
affirm , yes
inform , vietnamese in the center part of town
inform , british food
inform , moderately priced food
inform , moderately
request , what is the address
inform , portugese
inform , international food
request , phone number
request , what is the address
inform , i dont care
request , what kind of food does it serve
request , post code
request , can i get the phone number
inform , russian food
inform , east
thankyou , thank you good bye
inform , i want a turkish restaurant in the center part of town
thankyou , thank you good bye
null , noise
inform , expensive east part of town
inform , im looking for an expensive restaurant serving vegetarian food
inform , european food
thankyou , thank you good bye
inform , north
reqalts , anything elses
inform , east
inform , uh center
request , part of town the address and postal code please
inform , i dont care
request , address
inform , south part of town
affirm , yes
request , whats the phone number
request , what is the area
inform , european
request , may i get the address and phone number
inform , i want to find a cheap restaurant
inform , uh cheap restaurant serving scandinavian food
affirm , yes
reqalts , is there another restaurant in the west of town
request , phone number
inform , i would like afghan food
inform , vietnamese food
inform , pan asian food
thankyou , thank you good bye
inform , any price range
thankyou , thank you good bye
thankyou , thank you bye
request , address
request , what is the price range
request , and phone number
affirm , yes
thankyou , thank you good bye
request , whats the post code
inform , im looking for a restaurant serving venetian food
null , sil
request , what type of food do they serve
inform , what about international type food
inform , expensive romanian
request , whats the phone number
inform , i want to find a moderately priced restaurant
reqalts , is there anything else
inform , north american
inform , moderately
inform , cheap spanish restaurant
inform , im looking for an expensive restaurant in the east part of town
inform , european
inform , cheap restaurant in the north part of town
inform , italian food
reqalts , is there anything else
request , can i have the address please
request , can i have the phone number and type of food please
request , phone number
inform , any
request , phone number and price range
thankyou , thank you good bye
inform , asian restaurant
reqalts , how about indian food
request , address
thankyou , thanks bye bye
inform , indian
request , phone number
thankyou , thank you good bye
ack , have a good
inform , noise vietnamese
inform , south
thankyou , thank you good bye
reqalts , how about north american food
affirm , yes
inform , pan asian
thankyou , thank you good bye
thankyou , thank you good bye
affirm , yes
request , what is the address
request , okay whats the phone number
inform , im looking for a restaurant in the west park of town that serves australian food
thankyou , very good thank you bye bye
null , unintelligible
inform , spanish food
request , im looking for a restaurant in the north part of town serving french type of food
confirm , does it serve canapes food noise
request , phone number
request , phone number
request , and what is their phone number
inform , signaporian
inform , im looking for a cheap restaurant in the west part of town
thankyou , thank you good bye
inform , french food
inform , moderately priced restaurant that serves thai food
inform , uh italian food
affirm , yes id like to find a cheap
reqalts , anything else
inform , cheap restaurant in the north part of town
affirm , yes
inform , swiss food
request , area
thankyou , okay thank you good bye
inform , a restaurant in the north part of town
thankyou , thank you good bye
inform , im looking for a moderately priced restaurant in the west part of town
negate , no
inform , east part of town
thankyou , noise thank you goodbye
request , and whats the price range
negate , no
request , and what kind of food does it serve
inform , i am looking for sweedish food
request , whats the phone number
inform , moderate
thankyou , thank you good bye
request , whats the phone number
thankyou , thank you good bye
inform , i dont care
request , phone number
reqalts , anything else
reqalts , is there anything else
request , can i have their address
thankyou , thank you good bye
reqalts , how about english food in the north part of town
request , whats the address
request , can i have the phone nu
inform , okay then any
inform , im looking for a restaurant in any area that serves russian food
inform , spanish food
inform , restaurant in north part of town
inform , gastropub
inform , i dont care
inform , um dont care
thankyou , thank you good bye
request , and the address
thankyou , thank you good bye
thankyou , thank you goodbye
negate , no
affirm , yes
negate , no
negate , no
thankyou , thank you good bye
request , what is the address
inform , spanish
thankyou , thank you goodbye
inform , i dont care
request , address
inform , a restaurant serving thai food
inform , any
request , what is the address
request , phone number
request , whats their phone number
null , uh
request , what is their phone number
inform , i need a cheap restaurant
inform , im looking for a christmas food in the south part of town
request , phone number area
inform , how bout one that serves portuguese food and is cheap
inform , vegetarian food
inform , american
inform , japanese
request , what is the address
inform , it doesnt matter
inform , cheap
inform , im looking for european food
inform , north
inform , german food
affirm , yes
request , i want to know the address and phone number
inform , class over
thankyou , thank you good bye
inform , mediterranean
inform , french
request , whats the phone number
request , phone number
request , what is the address
request , whats the address and phone number
bye , good bye
request , may i have the phone number
request , can i have the phone number
inform , cheap
request , what is the address and post code
reqalts , how about korean food
inform , i want to find a expensive restaurant in the south part of town
reqalts , how about european
request , phone number
thankyou , thank you good bye
request , what is the address phone number and price range
inform , i dont care
negate , uh no preference
request , um give me the addresses
inform , cuban
inform , moderate priced
request , whats their phone number
request , address
null , finished
request , can i get the price range
inform , im looking for a cheap restaurant
request , address
inform , north
request , price range
inform , west part of town
inform , spanish
inform , east
inform , sea food
inform , canapes
inform , in the center that serves unintelligible asian
null , noise
null , noise
request , area
affirm , yes
affirm , ye
request , phone number
inform , looking for something with gastropub on the east side of town
inform , i need a restaurant in the east part of town serving indian food
inform , moroccan
inform , moderate
null , sil
inform , a cheap
reqalts , is there a restaurant serving modern european food
request , phone number
inform , steak house
request , whats their address
inform , any
reqalts , how about itailian
thankyou , thank you good bye
inform , im looking for thai
inform , a cheap restaurant
request , address
inform , moderately priced
null , noise
request , what is the phone number
thankyou , thank you good bye
reqalts , anything else
negate , no
request , what is the phone number
hello , hi im looking for a restaurant with japanese food
thankyou , thank you good bye
inform , moderate price range
inform , italian food
inform , i dont care
inform , korean food
request , whats the price range
request , and the phone number
inform , expensive
null , uh continental
inform , any price range
inform , west
request , breath whats the phone number of the venue
request , okay what is the phone number and area of the venue
inform , european food
inform , what about indian foods
request , and price range
thankyou , thank you good bye
request , whats the address
request , how about the address
reqalts , how about north american food
null , sil
affirm , yes
thankyou , thank you good bye
request , phone number
inform , it doesnt matter
null , cough
affirm , yes
thankyou , thank you goodbye
request , may i have the phone number
request , what kind of food do they serve
inform , i want an expensive restaurant serving european food
inform , cheap
inform , cheap restaurant in the east part of town
thankyou , thank you goodbye
thankyou , thank you good bye
affirm , yeah
request , phone number
thankyou , thank you good bye
reqalts , what about italian food
inform , im looking for corsica food
affirm , yes
inform , im looking for a restaurant in any area
inform , i dont care
reqalts , how about british
inform , north american food
inform , expensive restaurant in the east
null , adress
inform , any type of food
reqalts , is there anything else
thankyou , thank you good bye
request , whats the phone number
thankyou , thank you good bye
inform , north
thankyou , thank you good bye
null , can i have an
inform , im looking for something in the west side
request , price range
inform , east
request , may i have the post code
inform , cheap restaurant serving mediterranean food
thankyou , thank you good bye
inform , australian
request , whats the post code
request , and the post code
thankyou , thank you good bye
reqalts , is there anything else
reqalts , is there a restaurant that serves vietnamese food
reqalts , do you have anything else
inform , theres no such venue unintelligible indian type of food
affirm , yes
inform , expensive restaurant thai food
inform , west
inform , international food
request , and the phone number
reqalts , how about european food
inform , i dont care thank you good bye
inform , cantonese
inform , gastropub
null , music
thankyou , thank you good bye
request , no the phone number
inform , east
bye , good bye
thankyou , okay thank you good bye
request , type of food
request , can i get the address
inform , cheap
affirm , yes
inform , cheap
thankyou , thank you good bye
inform , any restaurant that serves moroccan food
inform , expensive
request , what type of food
null , sil
inform , cheap cheap restaurant
thankyou , thank you good bye
request , and the area
thankyou , thank you good bye
thankyou , thank you goodbye
request , post code
null , sil
request , and the post code
reqalts , how about asian oriental food
inform , id like to find a restaurant in any area serving mediterranean food
reqalts , how about vietnamese food
inform , south
inform , id like to find a restaurant that serves korean food
inform , id like a greek restaurant in the east part of town
affirm , yes a moderately priced restaurant
request , phone number
request , price range
inform , any price range
request , phone number
request , addre
